20MICRONS,"http://www.moneycontrol.com/india/stockpricequote/miningminerals/20microns/2M
3IINFOTECH,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/3iinfotech/I11
3MINDIA,"http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
3PLAND,"http://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36
5PAISA,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/5paisacapital/C98
63MOONS,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/63moonstechnologies/FT02
8KMILES,"http://www.moneycontrol.com/india/stockpricequote/computerssoftware/8kmilessoftwareservices/PMS01
A2ZINFRA,"http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02
AAKASH,"http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
AARON,"http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aaronindustries/AI79
AARTIDRUGS,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
AARTIIND,"http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
AARTISURF,"http://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantslimited/ASL08
AARVEEDEN,"http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
AARVI,"http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/aarvinfratel/N05
AARVI,"http://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19
AAVAS,"http://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
ABAN,"http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
ABAN,"http://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03
ABAN,"http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14
ABAN,"http://www.moneycontrol.com/india/stockpricequote/financeinvestments/brindabanholdingstrading/BHT02
ABAN,"http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
ABAN,"http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/denabank/DB
ABAN,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ingvysyabank/ING
ABAN,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04
ABAN,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karurvysyabank/KVB
ABAN,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
ABAN,"http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/lordkrishnabank/LKB
ABAN,"http://www.moneycontrol.com/india/stockpricequote/electricals/punjabanandlampindustries/PAL
ABAN,"http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/vijayabank/VB03
ABB,"http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
ABB,"http://www.moneycontrol.com/india/stockpricequote/abbpowerprodu/abbpowerproductssystemsindia/APP03
ABB,"http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,"http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
ACC,"http://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17
ACC,"http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL
